pk,name,description
1420,C_0.15uF_50V_cmsv_th,Multilayer Ceramic Capacitors
1419,C_0.1uF_50V_cmsv_th,Multilayer Ceramic Capacitors
1421,C_0.22uF_50V_cmsv_th,Multilayer Ceramic Capacitors
1422,C_0.33uF_50V_cmsv_th,Multilayer Ceramic Capacitors
1423,C_0.47uF_50V_cmsv_th,Multilayer Ceramic Capacitors
1424,C_0.68uF_50V_cmsv_th,Multilayer Ceramic Capacitors
1428,C_10uF_50V_cmsv_th,Multilayer Ceramic Capacitors
1425,C_1uF_50V_cmsv_th,Multilayer Ceramic Capacitors
1426,C_2.2uF_50V_cmsv_th,Multilayer Ceramic Capacitors
1427,C_4.7uF_50V_cmsv_th,Multilayer Ceramic Capacitors
